date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:09:15	70579/70579	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2015:30:11%20GMT	https://www.dryve.com.br/assinatura	C:/Users/gggggggggggggggggggg/Desktop/dryvev/www.dryve.com.br/assinatura.html	(from )
04:09:15	4441/4441	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cb3a558493d2ee4039bff376b28477d5%22	https://www.dryve.com.br/robots.txt		(from )
04:09:16	454078/454078	---M-Z	200	added ('OK')	text/css	etag:%22e1bc643bb96d76435d6d04340f1b65b3%22	https://cdn.prod.website-files.com/623224eb4a92497822edea4d/css/dryve-website.9dcf82f41.min.css	C:/Users/gggggggggggggggggggg/Desktop/dryvev/cdn.prod.website-files.com/623224eb4a92497822edea4d/css/dryve-website.9dcf82f41.min.css	(from https://www.dryve.com.br/assinatura)
04:09:16	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/gggggggggggggggggggg/Desktop/dryvev/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.dryve.com.br/assinatura)
04:09:16	1552/1552	---M--	200	added ('OK')	image/png	etag:%227665d0421e43fe6da726bdddd29f17c9%22	https://cdn.prod.website-files.com/623224eb4a92497822edea4d/624dd855cfdad01f5cd39b8b_dryve-favicon.png	C:/Users/gggggggggggggggggggg/Desktop/dryvev/cdn.prod.website-files.com/623224eb4a92497822edea4d/624dd855cfdad01f5cd39b8b_dryve-favicon.png	(from https://www.dryve.com.br/assinatura)
04:09:16	43563/43563	---M--	200	added ('OK')	image/png	etag:%22b59562731b734a2e791e91ac4a30fe85%22	https://cdn.prod.website-files.com/623224eb4a92497822edea4d/624dd859e773584e33188be9_dryve-webclip.png	C:/Users/gggggggggggggggggggg/Desktop/dryvev/cdn.prod.website-files.com/623224eb4a92497822edea4d/624dd859e773584e33188be9_dryve-webclip.png	(from https://www.dryve.com.br/assinatura)
04:09:17	244801/244801	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Dec%202024%2007:09:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/gggggggggggggggggggg/Desktop/dryvev/connect.facebook.net/en_US/fbevents.js	(from https://www.dryve.com.br/assinatura)
04:09:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20Dec%202024%2007:09:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/gggggggggggggggggggg/Desktop/dryvev/www.googletagmanager.com/gtm.65445.delayed	(from https://www.dryve.com.br/assinatura)
04:09:17	35358/35358	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2018:29:18%20GMT	https://www.dryve.com.br/legal/politica-de-privacidade	C:/Users/gggggggggggggggggggg/Desktop/dryvev/www.dryve.com.br/legal/politica-de-privacidade.html	(from https://www.dryve.com.br/assinatura)
04:09:17	22966/22966	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2015:21:16%20GMT	https://www.dryve.com.br/como-funciona	C:/Users/gggggggggggggggggggg/Desktop/dryvev/www.dryve.com.br/como-funciona.html	(from https://www.dryve.com.br/assinatura)
